ordinal	index	mode	phase	addr	reg	command
264	66	0	assert	0x003a	0x0000	0x053a0000
265	66	0	clear	0x003a	0x0000	0x013a0000
266	66	1	assert	0x003a	0x0000	0x063a0000
267	66	1	clear	0x003a	0x0000	0x023a0000
268	67	0	assert	0x003b	0x0000	0x053b0000
269	67	0	clear	0x003b	0x0000	0x013b0000
270	67	1	assert	0x003b	0x0000	0x063b0000
271	67	1	clear	0x003b	0x0000	0x023b0000
272	68	0	assert	0x003c	0x00ac	0x053c00ac
273	68	0	clear	0x003c	0x00ac	0x013c00ac
274	68	1	assert	0x003c	0x00ac	0x063c00ac
275	68	1	clear	0x003c	0x00ac	0x023c00ac
276	69	0	assert	0x003d	0x004d	0x053d004d
277	69	0	clear	0x003d	0x004d	0x013d004d
278	69	1	assert	0x003d	0x004d	0x063d004d
279	69	1	clear	0x003d	0x004d	0x023d004d
280	70	0	assert	0x003e	0x0004	0x053e0004
281	70	0	clear	0x003e	0x0004	0x013e0004
282	70	1	assert	0x003e	0x0004	0x063e0004
283	70	1	clear	0x003e	0x0004	0x023e0004
284	71	0	assert	0x003f	0x0000	0x053f0000
285	71	0	clear	0x003f	0x0000	0x013f0000
286	71	1	assert	0x003f	0x0000	0x063f0000
287	71	1	clear	0x003f	0x0000	0x023f0000
288	72	0	assert	0x0040	0x0204	0x05400204
289	72	0	clear	0x0040	0x0204	0x01400204
290	72	1	assert	0x0040	0x0204	0x06400204
291	72	1	clear	0x0040	0x0204	0x02400204
292	73	0	assert	0x0041	0x0403	0x05410403
293	73	0	clear	0x0041	0x0403	0x01410403
294	73	1	assert	0x0041	0x0403	0x06410403
295	73	1	clear	0x0041	0x0403	0x02410403
296	74	0	assert	0x0042	0x0000	0x05420000
297	74	0	clear	0x0042	0x0000	0x01420000
298	74	1	assert	0x0042	0x0000	0x06420000
299	74	1	clear	0x0042	0x0000	0x02420000
300	75	0	assert	0x0043	0x0000	0x05430000
301	75	0	clear	0x0043	0x0000	0x01430000
302	75	1	assert	0x0043	0x0000	0x06430000
303	75	1	clear	0x0043	0x0000	0x02430000
304	76	0	assert	0x0044	0x00bd	0x054400bd
305	76	0	clear	0x0044	0x00bd	0x014400bd
306	76	1	assert	0x0044	0x00bd	0x064400bd
307	76	1	clear	0x0044	0x00bd	0x024400bd
308	77	0	assert	0x0045	0x005c	0x0545005c
309	77	0	clear	0x0045	0x005c	0x0145005c
310	77	1	assert	0x0045	0x005c	0x0645005c
311	77	1	clear	0x0045	0x005c	0x0245005c
312	78	0	assert	0x0046	0x0004	0x05460004
313	78	0	clear	0x0046	0x0004	0x01460004
314	78	1	assert	0x0046	0x0004	0x06460004
315	78	1	clear	0x0046	0x0004	0x02460004
316	79	0	assert	0x0047	0x0000	0x05470000
317	79	0	clear	0x0047	0x0000	0x01470000
318	79	1	assert	0x0047	0x0000	0x06470000
319	79	1	clear	0x0047	0x0000	0x02470000
320	80	0	assert	0x0048	0x0204	0x05480204
321	80	0	clear	0x0048	0x0204	0x01480204
322	80	1	assert	0x0048	0x0204	0x06480204
323	80	1	clear	0x0048	0x0204	0x02480204
324	81	0	assert	0x0049	0x0403	0x05490403
